index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
3	egun	egun	NOUN	_	_	7	obl	_	obl
6	kontzentrazioan	kontzentrazio	NOUN	_	Case=Ine|Definite=Def|Number=Sing	7	obl	_	obl
8	ariketa	ariketa	NOUN	_	_	17	obl	_	obl
14	jokalariak	jokalari	NOUN	_	Animacy=Anim|Case=Abs|Definite=Def|Number=Plur	17	nsubj	_	nsubj
19	aste	aste	NOUN	_	_	17	obl	_	obl
4	ez	ez	NOUN	_	Case=Abs|Definite=Ind	5	compound	_	compound
7	etekin	etekin	NOUN	_	_	10	obj	_	obj
8	ezin	ezin	NOUN	_	_	7	nmod	_	nmod
12	san	san	NOUN	_	_	13	compound	_	compound
17	gol	gol	NOUN	_	_	18	nmod	_	nmod
18	aukera	aukera	NOUN	_	_	10	iobj	_	iobj
6	moduko	modu	NOUN	_	Animacy=Inan	7	nmod	_	nmod
7	arlote	arlote	NOUN	_	_	2	nsubj	_	nsubj
4	lo	lo	NOUN	_	Case=Abs|Definite=Ind	5	compound	_	compound
9	ametsetan	amets	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Plur	11	obl	_	obl
2	arima	arima	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	3	nsubj	_	nsubj
8	odolean	odol	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	9	obl	_	obl
1	kilometro	kilometro	NOUN	_	_	9	obl	_	obl
2	aldian	aldi	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	7	obl	SpaceAfter=No	obl
8	gehiengo	gehiengo	NOUN	_	_	6	nsubj	_	nsubj
2	eraginpean	eraginpe	NOUN	_	Case=Ine|Definite=Def|Number=Sing	3	obl	_	obl
5	hego	hego	NOUN	_	_	6	compound	_	compound
8	sobiet	sobiet	NOUN	_	_	9	compound	_	compound
9	batasun	batasun	NOUN	_	_	11	nmod	_	nmod
11	esanetara	esan	NOUN	_	Case=All|Definite=Def|Number=Plur	7	nmod	_	nmod
12	ipar	ipar	NOUN	_	_	13	compound	_	compound
3	hegoaldean	hegoalde	NOUN	_	Case=Ine|Definite=Def|Number=Sing	6	obl	_	obl
4	euskaldunok	euskaldun	NOUN	_	Case=Erg|Definite=Def|Number=Plur	6	nsubj	_	nsubj
7	eskubideak	eskubide	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	6	obj	SpaceAfter=No	obj
1	euroak	euro	NOUN	_	Case=Erg|Definite=Def|Number=Sing	5	nsubj	_	nsubj
3	egunetako	egun	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Plur	4	nmod	_	nmod
4	susperraldiari	susperraldi	NOUN	_	Case=Dat|Definite=Def|Number=Sing	5	iobj	_	iobj
7	igoera	igoera	NOUN	_	_	9	obj	_	obj
14	dolarren	dolar	NOUN	_	Case=Gen	16	obl	_	obl
17	arte	arte	NOUN	_	Animacy=Inan|Case=Abs|Definite=Ind	16	advcl	SpaceAfter=No	advcl
3	hauteskunde	hauteskunde	NOUN	_	_	4	nmod	_	nmod
4	prozesua	prozesu	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	7	obj	_	obj
6	behera	behe	NOUN	_	Case=All|Definite=Def|Number=Sing	7	obl	_	obl
9	egutegi	egutegi	NOUN	_	_	12	obj	_	obj
11	martxan	martxa	NOUN	_	Case=Ine|Definite=Def|Number=Sing	12	compound	_	compound
17	federazioak	federazio	NOUN	_	Case=Erg|Definite=Def|Number=Sing	14	nsubj	SpaceAfter=No	nsubj
3	garaipena	garaipen	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	4	obj	_	obj
5	ahal	ahal	NOUN	_	Case=Abs|Definite=Ind	6	compound	_	compound
8	jokalari	jokalari	NOUN	_	_	10	nmod	_	nmod
10	parte-hartzea	parte-hartze	NOUN	_	Case=Abs|Definite=Def|Number=Sing	12	nsubj	_	nsubj
3	talde	talde	NOUN	_	_	0	root	_	root
1	dolarea	dolare	NOUN	_	Case=Abs|Definite=Def|Number=Sing	3	obj	_	obj
2	sagarrez	sagar	NOUN	_	Animacy=Inan|Case=Ins|Definite=Def|Number=Plur	3	obl	_	obl
6	sagarra	sagar	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	7	nsubj	_	nsubj
4	jendaurrean	jendaurre	NOUN	_	Case=Ine	5	obl	_	obl
8	izenak	izen	NOUN	_	Case=Abs|Definite=Def|Number=Plur	9	obj	_	obj
12	uste	uste	NOUN	_	Case=Abs|Definite=Ind	13	compound	_	compound
15	herriko	herri	NOUN	_	Case=Loc|Definite=Def|Number=Sing	16	nmod	_	nmod
16	epaitegietan	epaitegi	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Plur	17	obl	_	obl
1	giro	giro	NOUN	_	_	3	nsubj	_	nsubj
8	derbiek	derby	NOUN	_	Case=Erg|Definite=Def|Number=Plur	9	nsubj	_	nsubj
14	xarma	xarma	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	9	obj	SpaceAfter=No	obj
16	jokalari	jokalari	NOUN	_	_	19	nsubj	_	nsubj
4	hautatzaileak	hautatzaile	NOUN	_	Animacy=Anim|Case=Erg|Definite=Def|Number=Sing	7	nsubj	_	nsubj
5	zerrendatik	zerrenda	NOUN	_	Animacy=Inan|Case=Abl|Definite=Def|Number=Sing	7	obl	_	obl
6	kanpo	kanpo	NOUN	_	Case=Abs|Definite=Ind	7	compound	_	compound
13	lesio	lesio	NOUN	_	_	16	obj	_	obj
2	lerro	lerro	NOUN	_	_	5	nmod	_	nmod
5	oreka	oreka	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	8	nsubj	_	nsubj
8	dohain	dohain	NOUN	_	_	0	root	_	root
3	pixka	pixka	NOUN	_	_	1	xcomp	_	xcomp
2	gairik	gai	NOUN	_	Animacy=Inan|Case=Par|Definite=Ind	4	nsubj	_	nsubj
1	urteak	urte	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	2	obj	_	obj
5	apirilaren	apiril	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	18	nsubj	_	nsubj
7	komitea	komite	NOUN	_	Case=Abs|Definite=Def|Number=Sing	6	flat	_	flat
11	armeniarrak	armeniar	NOUN	_	Animacy=Anim|Case=Abs|Definite=Def|Number=Plur	13	obj	_	obj
14	gogo	gogo	NOUN	_	Case=Abs|Definite=Ind	15	compound	_	compound
16	erakunde	erakunde	NOUN	_	_	18	xcomp	_	xcomp
1	zurtoin	zurtoin	NOUN	_	_	4	obj	_	obj
6	lur	lur	NOUN	_	_	8	obj	_	obj
9	lorapote	lorapote	NOUN	_	_	13	obl	_	obl
11	alanbre	alanbre	NOUN	_	_	13	obl	_	obl
1	ate	ate	NOUN	_	_	4	nmod	_	nmod
4	forma	forma	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	5	obj	_	obj
7	orri	orri	NOUN	_	_	10	nmod	_	nmod
10	atearena	ate	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	5	parataxis	SpaceAfter=No	parataxis
17	beheko	behe	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Sing	18	nmod	_	nmod
18	erdiak	erdi	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	24	nsubj	_	nsubj
19	sareta	sareta	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	24	obj	_	obj
23	eskuentzat	esku	NOUN	_	Case=Ben|Definite=Def|Number=Plur	20	obl	_	obl
24	helduleku	helduleku	NOUN	_	_	5	conj	_	conj
4	urteen	urte	NOUN	_	Case=Gen	8	obl	_	obl
6	bidaia	bidaia	NOUN	_	_	8	obj	_	obj
16	jokalaririk	jokalari	NOUN	_	Animacy=Anim|Case=Par|Definite=Ind	17	obj	_	obj
5	enpresariak	enpresari	NOUN	_	Case=Erg|Definite=Def|Number=Sing	6	nsubj	_	nsubj
7	salaketa	salaketa	NOUN	_	Case=Abs|Definite=Def|Number=Sing	8	obj	_	obj
16	afera	afera	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	17	obj	_	obj
24	fiskalak	fiskal	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	22	conj	_	conj
26	estatuaren	estatua	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	27	nmod	_	nmod
27	abokatuak	abokatu	NOUN	_	Case=Erg|Definite=Def|Number=Sing	22	conj	_	conj
4	aitzinekoen	aitzineko	NOUN	_	Case=Gen|Definite=Def|Number=Plur	5	nmod	_	nmod
5	jokoa	joko	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	2	obj	SpaceAfter=No	obj
2	elikatze-bonbek	elikatze+-+bonba	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Plur	3	nsubj	_	nsubj
5	ontzira	ontzi	NOUN	_	Animacy=Inan|Case=All|Definite=Def|Number=Sing	3	obl	_	obl
8	ur	ur	NOUN	_	_	3	obj	_	obj
3	jaira	jai	NOUN	_	Animacy=Inan|Case=All|Definite=Def|Number=Sing	4	obl	_	obl
2	ordu	ordu	NOUN	_	_	5	obj	_	obj
4	poliziek	polizia	NOUN	_	Case=Erg|Definite=Def|Number=Plur	5	nsubj	_	nsubj
6	burua	buru	NOUN	_	Case=Abs|Definite=Def|Number=Sing	3	appos	_	appos
13	hautagaiei	hautagai	NOUN	_	Animacy=Anim|Case=Dat|Definite=Def|Number=Plur	15	iobj	_	iobj
14	sustengua	sostengu	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	15	obj	_	obj
1	kartzeletako	kartzela	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Plur	2	nmod	_	nmod
2	funtzionario	funtzionario	NOUN	_	_	3	nmod	_	nmod
3	kopuru	kopuru	NOUN	_	_	15	nsubj	_	nsubj
6	preso	preso	NOUN	_	_	7	nmod	_	nmod
7	pilaketa	pilaketa	NOUN	_	Case=Abs|Definite=Def|Number=Sing	3	conj	_	conj
9	epaiketak	epaiketa	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	10	obj	_	obj
11	denbora	denbora	NOUN	_	_	3	conj	_	conj
15	eragileak	eragile	NOUN	_	Case=Abs|Definite=Def|Number=Plur	0	root	SpaceAfter=No	root
2	bozeramaileak	bozeramaile	NOUN	_	Case=Erg|Definite=Def|Number=Sing	4	nsubj	_	nsubj
7	alderdiaren	alderdi	NOUN	_	Case=Gen|Definite=Def|Number=Sing	9	nmod	_	nmod
8	mozioaren	mozio	NOUN	_	Case=Gen	4	obl	_	obl
3	jokabideak	jokabide	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	7	nsubj	_	nsubj
4	errepublika	errepublika	NOUN	_	_	7	xcomp	_	xcomp
6	batena	bat	NOUN	_	Case=Abs|Definite=Def|Number=Sing	4	det	_	det
1	harri	harri	NOUN	_	_	7	iobj	_	iobj
6	kiloak	kilo	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	7	obj	_	obj
1	jontxuk	jontxu	NOUN	_	Case=Erg|Definite=Ind	2	nsubj	_	nsubj
4	lorik	lo	NOUN	_	Case=Par|Definite=Ind	5	compound	_	compound
1	atzokoan	atzo	NOUN	_	Case=Ine|Definite=Def|Number=Sing	8	obl	_	obl
3	justizia	justizia	NOUN	_	_	4	nmod	_	nmod
4	ministro	ministro	NOUN	_	_	8	nsubj	_	nsubj
10	lege	lege	NOUN	_	_	29	nmod	_	nmod
11	aldaketek	aldaketa	NOUN	_	Case=Erg|Definite=Def|Number=Plur	12	nsubj	_	nsubj
14	babes	babes	NOUN	_	_	8	obl	_	obl
20	kongresuko	kongresu	NOUN	_	Case=Loc|Definite=Def|Number=Sing	21	nmod	_	nmod
21	bozeramaile	bozeramaile	NOUN	_	_	27	nsubj	_	nsubj
29	aldaketak	aldaketa	NOUN	_	Case=Abs|Definite=Def|Number=Plur	27	obj	SpaceAfter=No	obj
8	luzapenarekin	luzapen	NOUN	_	Case=Com|Definite=Def|Number=Sing	5	obl	SpaceAfter=No	obl
13	kontu	kontu	NOUN	_	_	16	nsubj	_	nsubj
15	lehentasuna	lehentasun	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	16	obj	_	obj
20	zuzendaritzan	zuzendaritza	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	16	obl	SpaceAfter=No	obl
24	kontratuaren	kontratu	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	25	obl	_	obl
6	epaile	epaile	NOUN	_	_	2	nsubj	_	nsubj
9	genozidioa	genozidio	NOUN	_	Case=Abs|Definite=Def|Number=Sing	2	obl	SpaceAfter=No	obl
11	torturak	tortura	NOUN	_	Case=Abs|Definite=Def|Number=Plur	9	conj	_	conj
13	terrorismoagatik	terrorismo	NOUN	_	Case=Cau|Definite=Def|Number=Sing	9	conj	SpaceAfter=No	conj
4	andereño	andereño	NOUN	_	Case=Abs|Definite=Ind	2	vocative	SpaceAfter=No	vocative
1	koktelen	koktel	NOUN	_	Case=Gen|Definite=Def|Number=Plur	2	nmod	_	nmod
2	eraginez	eragin	NOUN	_	Case=Ins|Definite=Ind	9	obl	SpaceAfter=No	obl
6	sute	sute	NOUN	_	_	9	nsubj	_	nsubj
13	zinegotzi	zinegotzi	NOUN	_	_	17	nsubj	_	nsubj
18	behar	behar	NOUN	_	Case=Abs|Definite=Ind	19	compound	_	compound
2	bereari	bera	NOUN	_	Case=Dat|Definite=Def|Number=Sing	3	iobj	_	iobj
5	legegintzaldia	legegintzaldi	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	6	nsubj	_	nsubj
7	bitartean	bitarte	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	6	advcl	SpaceAfter=No	advcl
3	harremanetan	harreman	NOUN	_	Case=Ine|Definite=Def|Number=Plur	4	obl	_	obl
9	urtean	urte	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	11	obl	_	obl
2	helburu	helburu	NOUN	_	_	6	nsubj	_	nsubj
5	mailara	maila	NOUN	_	Case=All|Definite=Def|Number=Sing	6	obl	_	obl
15	ibilbide	ibilbide	NOUN	_	_	19	obj	_	obj
26	jokalari	jokalari	NOUN	_	_	24	nsubj	_	nsubj
4	politika	politika	NOUN	_	_	6	nmod	_	nmod
6	arduradunak	arduradun	NOUN	_	Animacy=Anim|Case=Erg|Definite=Def|Number=Sing	16	nsubj	_	nsubj
7	mende	mende	NOUN	_	_	10	obl	_	obl
11	eskubide	eskubide	NOUN	_	_	14	nmod	_	nmod
19	eskubideen	eskubide	NOUN	_	Case=Gen|Definite=Def|Number=Plur	20	nmod	_	nmod
20	gutuna	gutun	NOUN	_	Case=Abs|Definite=Def|Number=Sing	16	obj	SpaceAfter=No	obj
2	galdera	galdera	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	4	nsubj	_	nsubj
6	garunean	garun	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	4	obl	SpaceAfter=No	obl
1	atea	ate	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	2	obj	_	obj
1	trainerua	traineru	NOUN	_	Case=Abs|Definite=Def|Number=Sing	2	nsubj	_	nsubj
9	traineru	traineru	NOUN	_	Case=Abs|Definite=Ind	10	obj	_	obj
3	futbolean	futbol	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	5	obl	_	obl
4	emaitzak	emaitza	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	6	nsubj	_	nsubj
8	gauza	gauza	NOUN	_	_	5	obl	_	obl
2	etapan	etapa	NOUN	_	Case=Ine|Definite=Def|Number=Sing	8	obl	_	obl
3	euskal	euskal	NOUN	_	_	4	nmod	_	nmod
4	taldearen	talde	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	7	nmod	_	nmod
6	ihesaldi	ihesaldi	NOUN	_	_	7	nmod	_	nmod
7	ahaleginak	ahalegin	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	8	obj	_	obj
1	istripua	istripu	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	2	obj	_	obj
4	hegazkina	hegazkin	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	8	nsubj	_	nsubj
7	enpresako	enpresa	NOUN	_	Animacy=Inan|Case=Loc|Definite=Def|Number=Sing	8	nmod	_	nmod
15	lagun	lagun	NOUN	_	Animacy=Anim|Case=Abs|Definite=Ind	16	nsubj	_	nsubj
17	barruan	barru	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	16	obl	SpaceAfter=No	obl
20	hiriburutik	hiriburu	NOUN	_	Animacy=Inan|Case=Abl|Definite=Def|Number=Sing	26	obl	SpaceAfter=No	obl
25	bidaia	bidaia	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	26	obj	_	obj
27	behar	behar	NOUN	_	Case=Abs|Definite=Ind	28	compound	_	compound
3	partidua	partidu	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	4	obj	_	obj
5	nahi	nahi	NOUN	_	Case=Abs|Definite=Ind	6	compound	_	compound
14	partidu	partidu	NOUN	_	_	9	nsubj	_	nsubj
2	igoeraren	igoera	NOUN	_	Case=Gen	5	obl	_	obl
7	giroarekin	giro	NOUN	_	Animacy=Inan|Case=Com|Definite=Def|Number=Sing	10	obl	_	obl
16	entrenatzailea	entrenatzaile	NOUN	_	Case=Abs|Definite=Def|Number=Sing	10	nsubj	SpaceAfter=No	nsubj
1	erabilpenaz	erabilpen	NOUN	_	Case=Ins	9	obl	_	obl
4	inkestak	inkesta	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	9	nsubj	_	nsubj
6	datu	datu	NOUN	_	_	9	obj	_	obj
1	intimitatea	intimitate	NOUN	_	Case=Abs|Definite=Def|Number=Sing	2	obj	_	obj
4	lagun	lagun	NOUN	_	Case=Ine	6	nsubj	_	nsubj
8	intolerantziaren	intolerantzia	NOUN	_	Case=Gen	10	nsubj	_	nsubj
1	esfortzu	esfortzu	NOUN	_	_	3	obj	_	obj
1	partida	partida	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	3	nsubj	_	nsubj
5	aitzin	aitzin	NOUN	_	_	7	nmod	_	nmod
7	zatietan	zati	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Plur	3	obl	SpaceAfter=No	obl
10	etenaldi	etenaldi	NOUN	_	_	12	obj	_	obj
14	norgehiagokak	norgehiagoka	NOUN	_	Animacy=Inan|Case=Erg|Definite=Def|Number=Sing	12	nsubj	SpaceAfter=No	nsubj
10	egoera	egoera	NOUN	_	_	12	nsubj	_	nsubj
15	ardura	ardura	NOUN	_	Case=Abs|Definite=Def|Number=Sing	16	nsubj	_	nsubj
1	alderdi	alderdi	NOUN	_	_	5	ccomp	_	ccomp
3	batekoa	bat	NOUN	_	Case=Abs|Definite=Def|Number=Sing	1	det	_	det
7	presoak	preso	NOUN	_	Case=Abs|Definite=Def|Number=Plur	10	obj	_	obj
9	jaioterrira	jaioterri	NOUN	_	Case=All|Definite=Def|Number=Sing	10	obl	_	obl
11	eskaerarik	eskaera	NOUN	_	Animacy=Inan|Case=Par|Definite=Ind	14	obj	_	obj
16	gobernuari	gobernu	NOUN	_	Case=Dat|Definite=Def|Number=Sing	14	iobj	SpaceAfter=No	iobj
3	taldea	talde	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	4	obj	_	obj
1	euskal	euskal	NOUN	_	_	2	compound	_	compound
2	herriko	herri	NOUN	_	Case=Loc|Definite=Def|Number=Sing	5	nmod	_	nmod
3	harri	harri	NOUN	_	_	5	nmod	_	nmod
5	txapelketa	txapelketa	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	8	nsubj	_	nsubj
6	urriaren	urri	NOUN	_	Animacy=Inan|Case=Gen|Definite=Def|Number=Sing	7	nmod	_	nmod
1	turista	turista	NOUN	_	_	4	nsubj	_	nsubj
3	nahi	nahi	NOUN	_	Case=Abs|Definite=Ind	4	compound	_	compound
5	denda	denda	NOUN	_	_	9	obl	_	obl
4	etapako	etapa	NOUN	_	Case=Loc|Definite=Def|Number=Sing	5	nmod	_	nmod
5	ondorioak	ondorio	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Plur	7	nsubj	_	nsubj
11	etapari	etapa	NOUN	_	Case=Dat|Definite=Ind	8	iobj	SpaceAfter=No	iobj
1	ordubeteko	ordubete	NOUN	_	_	2	nmod	_	nmod
2	lehia	lehia	NOUN	_	_	4	obj	_	obj
1	taldea	talde	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	4	obj	_	obj
2	une	une	NOUN	_	_	4	obl	_	obl
6	aldamenean	aldamen	NOUN	_	Case=Ine|Definite=Def|Number=Sing	4	obl	SpaceAfter=No	obl
1	taldea	talde	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	2	nsubj	_	nsubj
6	gelaz	gela	NOUN	_	Animacy=Inan|Case=Ins|Definite=Def|Number=Sing	9	obl	_	obl
7	gela	gela	NOUN	_	Animacy=Inan|Case=Abs|Definite=Def|Number=Sing	6	nmod	_	nmod
1	nazioarteko	nazioarte	NOUN	_	Case=Loc|Definite=Def|Number=Sing	2	nmod	_	nmod
2	test-partida	test-partida	NOUN	_	_	4	nsubj	_	nsubj
7	asteburuan	asteburu	NOUN	_	Animacy=Inan|Case=Ine|Definite=Def|Number=Sing	4	obl	SpaceAfter=No	obl
1	une	une	NOUN	_	_	10	obl	_	obl
