index	word	lemma	posUni	posFine	morph	head	dep	_	coarse_dep
7	izan	izan	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
8	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	7	aux	_	aux
13	irabazi	irabazi	VERB	_	VerbForm=Part	7	xcomp	SpaceAfter=No	xcomp
21	dominatu	dominatu	VERB	_	Aspect=Perf|VerbForm=Part	13	advcl	_	advcl
22	zuelako	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	21	aux	_	aux
2	izatea	izan	VERB	_	Case=Abs	3	xcomp	_	xcomp
3	errazten	erraztu	VERB	_	Aspect=Imp|VerbForm=Inf	6	acl	_	acl
4	duten	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	3	aux	_	aux
8	zuzentzearen	zuzendu	VERB	_	Case=Gen|Definite=Def|Number=Sing	9	nmod	_	nmod
10	azpimarratu	azpimarratu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
11	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	10	aux	SpaceAfter=No	aux
4	dira	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	9	aux	_	aux
6	abesturiko	abestu	VERB	_	Case=Loc|VerbForm=Part	8	advcl	_	advcl
9	egiten	egin	VERB	_	Aspect=Imp|VerbForm=Inf	0	root	SpaceAfter=No	root
5	du	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	_	root
1	eragindako	eragin	VERB	_	Case=Loc|VerbForm=Part	2	advcl	_	advcl
5	eskatu	eskatu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
6	ditu	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	5	aux	_	aux
5	mehetzen	mehetu	VERB	_	Aspect=Imp|VerbForm=Inf	0	root	SpaceAfter=No	root
7	sentiberatzen	sentiberatu	VERB	_	Aspect=Imp|VerbForm=Inf	5	conj	SpaceAfter=No	conj
9	fintzen	findu	VERB	_	Aspect=Imp|VerbForm=Inf	5	conj	_	conj
10	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	9	aux	SpaceAfter=No	aux
1	heldu	heldu	VERB	_	Aspect=Perf|VerbForm=Part	3	acl	_	acl
2	den	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	1	aux	_	aux
5	ariko	ari_izan	VERB	_	_	0	root	_	root
6	dira	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	5	aux	_	aux
3	oroitzen	oroitu	VERB	_	Aspect=Imp|VerbForm=Inf	0	root	_	root
4	da	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	3	aux	_	aux
8	hartu	hartu	VERB	_	VerbForm=Part	3	ccomp	_	ccomp
9	zuela	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	8	aux	_	aux
16	zituelarik	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	3	advcl	SpaceAfter=No	advcl
2	aurkeztu	aurkeztu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
3	ziren	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	2	aux	_	aux
5	lehiatuko	lehiatu	VERB	_	Aspect=Prosp|VerbForm=Part	7	acl	_	acl
6	diren	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	5	aux	_	aux
2	izan	izan	AUX	_	Aspect=Perf|VerbForm=Part	1	cop	_	cop
3	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	2	aux	_	aux
3	da	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	1	cop	_	cop
6	antolatzea	antolatu	VERB	_	Case=Abs	1	csubj	SpaceAfter=No	csubj
12	erantzun	erantzun	VERB	_	Aspect=Perf|VerbForm=Part	3	conj	_	conj
13	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	12	aux	SpaceAfter=No	aux
4	debekatuta	debekatu	VERB	_	VerbForm=Part	0	root	SpaceAfter=No	root
2	dut	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=1	7	ccomp	_	ccomp
3	bazela	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3|Polarity=Pos	2	ccomp	_	ccomp
7	zioen	esan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	_	root
1	jarri	jarri	VERB	_	VerbForm=Part	0	root	_	root
1	merezita	merezi_izan	VERB	_	Aspect=Perf|VerbForm=Inf	2	advcl	_	advcl
2	lortu	lortu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
3	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	2	aux	_	aux
7	iristea	iritsi	VERB	_	Case=Abs	2	xcomp	SpaceAfter=No	xcomp
4	izan	izan	AUX	_	Aspect=Perf|VerbForm=Part	3	cop	_	cop
5	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	4	aux	SpaceAfter=No	aux
8	helaraziko	hel+araz	VERB	_	Voice=Cau	0	root	_	root
9	dizuet	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Plur|Number[erg]=Sing|Person[abs]=3|Person[dat]=2|Person[erg]=1	8	aux	SpaceAfter=No	aux
17	baititzaket	*ezan	AUX	_	Mood=Pot|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=1	16	aux	_	aux
18	idatzi	idatzi	VERB	_	Case=Abs|Definite=Ind|VerbForm=Part	16	xcomp	SpaceAfter=No	xcomp
22	idatziz	idatzi	VERB	_	Case=Ins|Definite=Ind|VerbForm=Part	26	advcl	_	advcl
25	itzultzera	itzuli	VERB	_	Case=All	26	advcl	_	advcl
26	bidaltzen	bidali	VERB	_	Aspect=Imp|VerbForm=Inf	8	conj	_	conj
27	dituzte	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	26	aux	SpaceAfter=No	aux
2	diren	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Plur|Person[abs]=3	3	acl	_	acl
8	daukate	eduki	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	0	root	SpaceAfter=No	root
3	aritu	aritu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
4	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	3	aux	_	aux
11	jardu	jardun	VERB	_	Aspect=Perf|VerbForm=Part	3	conj	_	conj
12	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	11	aux	_	aux
3	eman	eman	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
4	zizkien	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[dat]=Plur|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	3	aux	_	aux
10	hartu	hartu	VERB	_	Aspect=Perf|VerbForm=Part	3	conj	_	conj
11	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	10	aux	_	aux
14	joateko	joan	VERB	_	Case=Abs|Definite=Ind	10	advcl	SpaceAfter=No	advcl
2	eskatu	eskatu	VERB	_	Aspect=Perf|VerbForm=Part	5	obj	_	obj
3	diezaiokeena	*ezan	AUX	_	Case=Abs|Definite=Def|Mood=Pot|Number=Sing|Number[abs]=Sing|Number[dat]=Sing|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	2	aux	_	aux
5	dakien	jakin	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	17	advcl	_	advcl
9	eskatzen	eskatu	VERB	_	Aspect=Imp|VerbForm=Inf	11	acl	_	acl
10	dion	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Sing|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	9	aux	_	aux
12	egokitzeko	egokitu	VERB	_	Case=Loc	14	advcl	_	advcl
16	duela	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	17	ccomp	_	ccomp
17	aurreratu	aurreratu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
18	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	17	aux	_	aux
2	geratu	geratu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
3	zara	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=2	2	aux	SpaceAfter=No	aux
4	gertatutakoaren	gertatu	VERB	_	Case=Gen|Definite=Def|Number=Sing|VerbForm=Part	5	advcl	_	advcl
6	kendu	kendu	VERB	_	VerbForm=Part	8	xcomp	_	xcomp
8	nuke	ukan	VERB	_	Aspect=Prog|Mood=Cnd|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=1	0	root	_	root
10	irabazita	irabazi	VERB	_	VerbForm=Part	8	advcl	SpaceAfter=No	advcl
2	naiz	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=1	1	cop	SpaceAfter=No	cop
2	utzi	utzi	VERB	_	Aspect=Perf|VerbForm=Part	10	advcl	_	advcl
3	genuenean	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=1	2	aux	SpaceAfter=No	aux
10	esan	esan	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
11	zigun	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Plur|Number[erg]=Sing|Person[abs]=3|Person[dat]=1|Person[erg]=3	10	aux	SpaceAfter=No	aux
5	izan	izan	AUX	_	Aspect=Perf|VerbForm=Part	7	cop	_	cop
6	da	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	5	aux	_	aux
12	gogorarazi	gogora+araz	VERB	_	Voice=Cau	14	xcomp	_	xcomp
14	da	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	5	conj	_	conj
23	gaitzetsi	gaitzetsi	VERB	_	VerbForm=Part	14	advcl	_	advcl
2	hautatze	hautatu	VERB	_	_	5	obl	_	obl
5	bada	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3|Polarity=Pos	0	root	_	root
5	ikusteko	ikusi	VERB	_	Case=Loc	6	advcl	_	advcl
7	izango	izan	VERB	_	Aspect=Prosp|VerbForm=Part	0	root	_	root
8	dute	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	7	aux	_	aux
4	mintzatu	mintzatu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
5	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	4	aux	_	aux
17	helarazi	helaraz	VERB	_	Voice=Cau	4	conj	_	conj
18	zion	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Sing|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	17	aux	SpaceAfter=No	aux
6	sartu	sartu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
7	zen27	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	6	aux	SpaceAfter=No	aux
7	beldurtu	beldurtu	VERB	_	VerbForm=Part	11	advcl	_	advcl
11	sartu	sartu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
12	ziren	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	11	aux	SpaceAfter=No	aux
7	aipatzen	aipatu	VERB	_	Aspect=Imp|VerbForm=Inf	0	root	_	root
8	ditu	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	7	aux	SpaceAfter=No	aux
4	gezurtatu	gezurtatu	VERB	_	VerbForm=Part	0	root	_	root
5	egin	egin	VERB	_	Aspect=Perf|VerbForm=Part	4	aux	_	aux
6	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	4	aux	_	aux
6	osatuta	osatu	VERB	_	VerbForm=Part	0	root	_	root
7	egon	egon	AUX	_	VerbForm=Inf	6	cop	_	cop
8	daiteke	*edin	AUX	_	Mood=Pot|Number[abs]=Sing|Person[abs]=3	7	aux	SpaceAfter=No	aux
16	jarraitu	jarraitu	VERB	_	VerbForm=Part	17	xcomp	_	xcomp
17	beharko	behar_izan	VERB	_	_	7	conj	_	conj
18	dute	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	17	aux	_	aux
1	salbatu	salbatu	VERB	_	Aspect=Perf|VerbForm=Part	4	obj	_	obj
2	zirenak	izan	AUX	_	Case=Abs|Definite=Def|Mood=Ind|Number=Plur|Number[abs]=Plur|Person[abs]=3	1	aux	_	aux
4	argitaratu	argitaratu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
5	zizkion	*edun	AUX	_	Mood=Ind|Number[abs]=Plur|Number[dat]=Sing|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	4	aux	SpaceAfter=No	aux
4	da	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	3	cop	_	cop
4	du	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	_	root
2	italiartuta	italiartu	VERB	_	VerbForm=Part	3	advcl	_	advcl
3	dagoela	egon	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	4	ccomp	_	ccomp
4	esan	esan	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
5	genezake	*ezan	AUX	_	Mood=Pot|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=1	4	aux	SpaceAfter=No	aux
4	dun	ukan	VERB	_	Aspect=Prog|Gender=Fem|Mood=Ind|Number[abs]=Sing|Person[abs]=3|Polite=Infm	0	root	SpaceAfter=No	root
4	oinarrituriko	oinarritu	VERB	_	Case=Loc|VerbForm=Part	5	advcl	_	advcl
9	du	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	SpaceAfter=No	root
4	ezagutuenetakoa	ezagutu	VERB	_	Case=Abs|Definite=Def|Degree=Sup|Number=Sing|VerbForm=Part	3	nmod	_	nmod
5	da	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	3	cop	SpaceAfter=No	cop
2	bazuen	ukan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3|Polarity=Pos	6	advcl	SpaceAfter=No	advcl
5	joatea	joan	VERB	_	Case=Abs	6	xcomp	_	xcomp
6	zeukan	eduki	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	0	root	SpaceAfter=No	root
6	dela	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	5	cop	_	cop
7	esan	esan	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
8	dute	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	7	aux	SpaceAfter=No	aux
13	baitu	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	15	aux	_	aux
15	izan	izan	VERB	_	Aspect=Perf|VerbForm=Part	7	advcl	SpaceAfter=No	advcl
1	jar	jarri	VERB	_	VerbForm=Inf	0	root	_	root
2	itzazu	*ezan	AUX	_	Mood=Imp|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=2	1	aux	_	aux
6	txikituta	txikitu	VERB	_	VerbForm=Part	1	advcl	_	advcl
8	piztu	piztu	VERB	_	VerbForm=Part	1	conj	_	conj
4	adierazi	adierazi	VERB	_	Voice=Cau	31	advcl	_	advcl
5	zuenez	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	4	aux	SpaceAfter=No	aux
13	garatzen	garatu	VERB	_	Aspect=Imp|VerbForm=Inf	15	acl	_	acl
14	duten	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Plur|Person[abs]=3|Person[erg]=3	13	aux	_	aux
18	nabarmentzera	nabarmendu	VERB	_	Case=All	31	advcl	_	advcl
24	inposatu	inposatu	VERB	_	Aspect=Perf|VerbForm=Part	26	acl	_	acl
25	diguten	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Plur|Number[erg]=Plur|Person[abs]=3|Person[dat]=1|Person[erg]=3	24	aux	_	aux
30	aurkeztera	aurkeztu	VERB	_	Case=All	18	conj	_	conj
31	joango	joan	VERB	_	Aspect=Prosp|VerbForm=Part	0	root	_	root
32	gara	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=1	31	aux	SpaceAfter=No	aux
3	da	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	2	cop	_	cop
5	gertatzea	gertatu	VERB	_	Case=Abs	2	csubj	SpaceAfter=No	csubj
5	utzi	utzi	VERB	_	VerbForm=Part	0	root	_	root
9	sartu	sartu	VERB	_	Aspect=Perf|VerbForm=Part	5	conj	_	conj
10	ziren	izan	AUX	_	Mood=Ind|Number[abs]=Plur|Person[abs]=3	9	aux	SpaceAfter=No	aux
7	ikus	ikusi	VERB	_	VerbForm=Inf	0	root	_	root
8	ditzakezu	*ezan	AUX	_	Mood=Pot|Number[abs]=Plur|Number[erg]=Sing|Person[abs]=3|Person[erg]=2	7	aux	SpaceAfter=No	aux
2	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	7	aux	_	aux
6	sartzen	sartu	VERB	_	Case=Ine	7	advcl	_	advcl
7	ikusi	ikusi	VERB	_	Aspect=Perf|VerbForm=Part	0	root	SpaceAfter=No	root
2	erailtzen	erail	VERB	_	Aspect=Imp|VerbForm=Inf	0	root	_	root
3	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	2	aux	SpaceAfter=No	aux
13	leporatzen	leporatu	VERB	_	Aspect=Imp|VerbForm=Inf	2	conj	_	conj
14	dio	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[dat]=Sing|Number[erg]=Sing|Person[abs]=3|Person[dat]=3|Person[erg]=3	13	aux	SpaceAfter=No	aux
6	inposatzeari	inposatu	VERB	_	Case=Dat|Definite=Def|Number=Sing	7	advcl	_	advcl
7	utzi	utzi	VERB	_	VerbForm=Part	15	xcomp	_	xcomp
11	batzeari	batu	VERB	_	Case=Dat|Definite=Def|Number=Sing	13	advcl	SpaceAfter=No	advcl
13	ekin	ekin	VERB	_	VerbForm=Part	7	conj	_	conj
15	diola	ukan	VERB	_	_	16	ccomp	_	ccomp
16	esan	esan	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
17	zuen	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	16	aux	SpaceAfter=No	aux
3	zen	izan	VERB	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	0	root	SpaceAfter=No	root
9	egin	egin	VERB	_	Aspect=Perf|VerbForm=Part	3	conj	_	conj
10	du	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=3	9	aux	_	aux
15	ospatu	ospatu	VERB	_	VerbForm=Part	9	advcl	_	advcl
16	zedin	*edin	AUX	_	Mood=Sub|Number[abs]=Sing|Person[abs]=3	15	aux	SpaceAfter=No	aux
22	iragarri	iragarri	VERB	_	VerbForm=Part	18	advcl	_	advcl
2	hasi	hasi	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
3	zen	izan	AUX	_	Mood=Ind|Number[abs]=Sing|Person[abs]=3	2	aux	_	aux
7	zen	izan	AUX	_	Aspect=Prog|Mood=Ind|Number[abs]=Sing|Person[abs]=3	6	cop	_	cop
2	aukeratu	aukeratu	VERB	_	Aspect=Perf|VerbForm=Part	0	root	_	root
3	duzu	*edun	AUX	_	Mood=Ind|Number[abs]=Sing|Number[erg]=Sing|Person[abs]=3|Person[erg]=2	2	aux	_	aux
1	kezkatzeko	kezkatu	VERB	_	Case=Loc	2	advcl	_	advcl
