# ecc: Coordinate Conjunction
면서	ecc	1	[('면서', 'ecc')]	conjunctive
긴	ef	1	[('긴', 'ef')]
는다	ef	318	[('는다', 'ef')]
다네	ef	4	[('다네', 'ef')]
ㄴ가	ef	214	[('ㄴ가', 'ef')]
리라	ef	42	[('리라', 'ef'), ('으리라', 'ef')]
ㄴ지	ef	23	[('ㄴ지', 'ef')]
어라	ef	32	[('어라', 'ef')]	SLOT VI
십시오	ef	5	[('십시오', 'ef')]
네	ef	3	[('네', 'ef')]
는가	ef	128	[('는가', 'ef')]
소	ef	153	[('소', 'ef')]
나	ef	10	[('나', 'ef')]
단다	ef	1	[('단다', 'ef')]
라니	ef	2	[('라니', 'ef')]
던가	ef	11	[('던가', 'ef')]
구나	ef	7	[('구나', 'ef')]
습니까	ef	39	[('습니까', 'ef')]	interrogative formal polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4#Conjugation). Actually composed of seumni-kka where seumni marks Formal Polite (compare -seumnida for indicative Formal Polite). The 까 ending is in SLOT VI. The 습 ending is SLOT IV.
어	ef	42	[('어', 'ef')]	informal non-polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4)
죠	ef	28	[('죠', 'ef')]
지요	ef	11	[('지요', 'ef')]
ㄴ거지	ef	1	[('ㄴ거지', 'ef')]
군	ef	12	[('군', 'ef')]
ㄹ까	ef	145	[('ㄹ까', 'ef')]
ㅂ디다	ef	1	[('ㅂ디다', 'ef')]	The ㅂ part is SLOT IV.
지	ef	68	[('지', 'ef')]	https://en.wiktionary.org/wiki/%EC%A7%80#Suffix
답니다	ef	6	[('답니다', 'ef')]
ㅂ니까	ef	13	[('ㅂ니까', 'ef')]	The ㅂ part is SLOT IV.
느냐	ef	27	[('느냐', 'ef')]	interrogative formal non-polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4)
오	ef	214	[('오', 'ef')]	Imperative (SLOT VI)
다	ef	12391	[('다', 'ef')]	da suffix (SLOT VI)
ㄴ다	ef	3328	[('ㄴ다', 'ef')]
자	ef	122	[('자', 'ef')]	SLOT VI
ㅂ시요	ef	1	[('ㅂ시요', 'ef')]	The ㅂ part is SLOT IV.
어요	ef	6	[('어요', 'ef')]
요	ef	24	[('요', 'ef')]	Polite suffix (SLOT VII). Also labeled jxf.
ㅂ시오	ef	3	[('ㅂ시오', 'ef')]	The ㅂ part is SLOT IV.
습니다	ef	323	[('습니다', 'ef')]	indicative formal polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4#Conjugation). The 습 part belongs to SLOT IV.
ㅂ니다	ef	917	[('ㅂ니다', 'ef')]	Like 습니다. The initial ㅂ part (SLOT IV) is an allomorph of 습.
을까	ef	2	[('을까', 'ef')]

# Pre-final ending marker. SLOTS II, III, V
ㅆ었	ep	1	[('ㅆ었', 'ep')]
시겠	ep	1	[('시겠', 'ep')]
셨	ep	37	[('으셨', 'ep'), ('셨', 'ep')]	portmanteau honorific (SLOT II) + past  (https://en.wikipedia.org/wiki/Korean_verbs)
았겠	ep	1	[('았겠', 'ep')]	same as 었겠 (SLOT III)
시	ep	122	[('으시', 'ep'), ('시', 'ep')]	honorific suffix (SLOT II). There is also a subjunctive -si/-s (SLOT V).
ㅆ겠	ep	1	[('ㅆ겠', 'ep')]
어야겠	ep	15	[('어야겠', 'ep')]
겠	ep	263	[('겠', 'ep')]	assertive (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4) (SLOT III)
ㅆ	ep	7261	[('ㅆ', 'ep'), ('었', 'ep')]	past (SLOT III)
아야겠	ep	9	[('아야겠', 'ep')]
았	ep	906	[('았', 'ep')]
았더	ep	2	[('았더', 'ep')]
더	ep	35	[('더', 'ep')]	Allomorph of -deon (SLOT V)
었겠	ep	6	[('었겠', 'ep')]	remote past/future (SLOT III)
었었	ep	37	[('었었', 'ep')]	remote past (SLOT III)
었더	ep	9	[('었더', 'ep')]
았었	ep	13	[('았었', 'ep')]	same as 었었 (remote past)

# Adnominalizing ending marker. SLOTS: V
자던	etm	1	[('자던', 'etm')]
ㄴ다라는	etm	2	[('ㄴ다라는', 'etm')]
는단	etm	1	[('는단', 'etm')]
라는	etm	572	[('으라는', 'etm'), ('라는', 'etm')]
ㄴ단	etm	3	[('ㄴ단', 'etm')]
리라는	etm	11	[('리라는', 'etm'), ('으리라는', 'etm')]
단	etm	2	[('단', 'etm')]
려던	etm	5	[('려던', 'etm')]
려는	etm	135	[('려는', 'etm'), ('으려는', 'etm')]
노라는	etm	1	[('노라는', 'etm')]
는라가는	etm	1	[('는라가는', 'etm')]
냐는	etm	2	[('냐는', 'etm')]
랄	etm	1	[('랄', 'etm')]
다던	etm	2	[('다던', 'etm')]
ㄴ가라는	etm	6	[('ㄴ가라는', 'etm')]
는가는	etm	1	[('는가는', 'etm')]
든	etm	1	[('든', 'etm')]
는다라는	etm	1	[('는다라는', 'etm')]
란	etm	80	[('란', 'etm')]
느냐는	etm	4	[('느냐는', 'etm')]
자는	etm	21	[('자는', 'etm')]
을	etm	46	[('을', 'etm')]
는다는	etm	39	[('는다는', 'etm')]
ㄹ	etm	4778	[('ㄹ', 'etm')]
는	etm	6994	[('는', 'etm')]	Indicative (SLOT V)
은	etm	93	[('은', 'etm')]	perfective (은 / ㄴ -- etm)
던	etm	990	[('던', 'etm')]	retrospective (SLOT V)
다는	etm	396	[('다는', 'etm')]
ㄴ다는	etm	370	[('ㄴ다는', 'etm')]
ㄴ	etm	13070	[('ㄴ', 'etm')]	Allomorph of Indicative (SLOT V)
ㅁ	etn	75	[('ㅁ', 'etn'), ('음', 'etn')]	nominalizer
기	etn	1314	[('기', 'etn')]	verbal noun, informal non-polite (table in https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4#Conjugation)
m	f	1	[('m', 'f')]


# Adverbial case particle
에서	jca	16	[('에서', 'jca')]
로	jca	1	[('로', 'jca')]
로부터	jca	1	[('로부터', 'jca')]
로서	jca	1	[('으로서', 'jca')]
란	jcr	2	[('란', 'jcr')]
라	jcr	9	[('라', 'jcr')]	Quotative: https://en.wiktionary.org/wiki/%EB%9D%BC#Etymology_3
이라	jcr	5	[('이라', 'jcr')]
라고	jcr	63	[('라고', 'jcr')]
라며	jcr	1	[('라며', 'jcr')]
가	jcr	1	[('가', 'jcr')]
고	jcr	1242	[('고', 'jcr')]
이	jp	10246	[('이', 'jp')]
만	jxc	2	[('만', 'jxc')]
부터	jxc	13	[('부터', 'jxc')]
까지	jxc	4	[('까지', 'jxc')]
요	jxf	128	[('요', 'jxf')]	Polite suffix (SLOT VII). Also labeled ef.

# Attributive adjective
높	paa	1	[('높', 'paa')]
어렵	paa	1	[('어렵', 'paa')]

# General verb
느끼	pvg	2	[('느끼', 'pvg')]
묻	pvg	1	[('묻', 'pvg')]
말하	pvg	1	[('말하', 'pvg')]
뛰	pvg	1	[('뛰', 'pvg')]
알리	pvg	2	[('알리', 'pvg')]
이기	pvg	1	[('이기', 'pvg')]
배우	pvg	1	[('배우', 'pvg')]
일컫	pvg	4	[('일컫', 'pvg')]
하	pvg	2	[('하', 'pvg')]
알	pvg	4	[('알', 'pvg')]
씌	pvg	1	[('씌', 'pvg')]
보	pvg	1	[('보', 'pvg')]
믿	pvg	5	[('믿', 'pvg')]
여기	pvg	13	[('여기', 'pvg')]
전하	pvg	3	[('전하', 'pvg')]

# Auxiliary verb
뻔하	px	2	[('뻔하', 'px')]
성싶	px	1	[('성싶', 'px')]
만들	px	29	[('만들', 'px')]
주	px	260	[('주', 'px')]
나오	px	7	[('나오', 'px')]
보	px	218	[('보', 'px')]
나가	px	50	[('나가', 'px')]
내	px	81	[('내', 'px')]
두	px	42	[('두', 'px')]
들	px	7	[('들', 'px')]
놓	px	69	[('놓', 'px')]
가	px	93	[('가', 'px')]
오	px	177	[('오', 'px')]
나	px	25	[('나', 'px')]
계시	px	8	[('계시', 'px')]
싶	px	74	[('싶', 'px')]
말	px	115	[('말', 'px')]
있	px	2462	[('있', 'px')]	to be / to have https://en.wiktionary.org/wiki/%EC%9E%88%EB%8B%A4
않	px	870	[('않', 'px')]	negation? https://wiseinit.com/%ec%95%88-%ec%95%8a-korean-grammar-vs-grammar-5/
못하	px	261	[('못하', 'px')]	https://en.wiktionary.org/wiki/%EB%AA%BB%ED%95%98%EB%8B%A4
되	px	760	[('되', 'px')]	???
아니하	px	6	[('아니하', 'px')]
드리	px	1	[('드리', 'px')]
마지않	px	3	[('마지않', 'px')]
싶어하	px	8	[('싶어하', 'px')]
버리	px	85	[('버리', 'px')]
듯하	px	16	[('듯하', 'px')]
지	px	72	[('지', 'px')]
하	px	986	[('하', 'px')]	???
대	px	3	[('대', 'px')]
달	px	10	[('달', 'px')]
듯싶	px	2	[('듯싶', 'px')]
만하	px	48	[('만하', 'px')]
m	su	1	[('m', 'su')]

# Adjective derivational suffix
스럽	xsm	81	[('스럽', 'xsm')]
롭	xsm	34	[('롭', 'xsm')]
만하	xsm	1	[('만하', 'xsm')]
되	xsm	12	[('되', 'xsm')]	???
없	xsm	7	[('없', 'xsm')]
답	xsm	8	[('답', 'xsm')]
있	xsm	4	[('있', 'xsm')]
같	xsm	1	[('같', 'xsm')]
하	xsm	3738	[('하', 'xsm')]	???
시키	xsm	1	[('시키', 'xsm')]

# Noun derivational suffix
중	xsn	5	[('중', 'xsn')]
식	xsn	1	[('식', 'xsn')]
씩	xsn	1	[('씩', 'xsn')]
간	xsn	2	[('간', 'xsn')]
쯤	xsn	1	[('쯤', 'xsn')]
화	xsn	3	[('화', 'xsn')]
들	xsn	110	[('들', 'xsn')]
뿐	xsn	26	[('뿐', 'xsn')]
쪽	xsn	1	[('쪽', 'xsn')]
당	xsn	1	[('당', 'xsn')]
적	xsn	1785	[('적', 'xsn')]	nominal derivation: https://en.wiktionary.org/wiki/%EC%A0%81#Etymology_4
씨	xsn	4	[('씨', 'xsn')]
경	xsn	5	[('경', 'xsn')]

# Verb derivational suffix. SLOTS: I
시키	xsv	498	[('시키', 'xsv')]	causative	https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002506907 https://en.wiktionary.org/wiki/%EC%8B%9C%ED%82%A4%EB%8B%A4	SLOT I
받	xsv	13	[('받', 'xsv')]
당하	xsv	19	[('당하', 'xsv')]
하	xsv	9632	[('하', 'xsv')]	as a verb, this means 'to do'
되	xsv	3691	[('되', 'xsv')]	as a verb, this means 'to become'
거리	xsv	4	[('거리', 'xsv')]
